donor_name,structure,folderName,fastqName,bamName,sample,specimen_name
H14.09.032,TCx,H14.09.032.TCx.01_TCx,RS5-501119,ar_496100395,H501-1119,H14.09.032.TCx.01
H14.09.033,HIP,H14.09.033.HIP.01_HIP,RS5-501120,ar_496100417,H501-1120,H14.09.033.HIP.01
H14.09.033,FWM,H14.09.033.PCx.01_FWM,RS5-501121,ar_496100401,H501-1121,H14.09.033.PCx.01
H14.09.033,PCx,H14.09.033.PCx.01_PCx,RS5-501122,ar_496100421,H501-1122,H14.09.033.PCx.01
H14.09.033,TCx,H14.09.033.TCx.01_TCx,RS5-501123,ar_496100403,H501-1123,H14.09.033.TCx.01
H14.09.034,HIP,H14.09.034.HIP.01_HIP,RS5-501124,ar_496100396,H501-1124,H14.09.034.HIP.01
H14.09.034,FWM,H14.09.034.PCx.01_FWM,RS5-501125,ar_496100407,H501-1125,H14.09.034.PCx.01
H14.09.034,PCx,H14.09.034.PCx.01_PCx,RS5-501126,ar_496100390,H501-1126,H14.09.034.PCx.01
H14.09.034,TCx,H14.09.034.TCx.01_TCx,RS5-501127,ar_496100405,H501-1127,H14.09.034.TCx.01
H14.09.037,HIP,H14.09.037.HIP.01_HIP,RS5-501128,ar_496100389,H501-1128,H14.09.037.HIP.01
H14.09.037,FWM,H14.09.037.PCx.01_FWM,RS5-501129,ar_496100391,H501-1129,H14.09.037.PCx.01
H14.09.037,PCx,H14.09.037.PCx.01_PCx,RS5-501130,ar_496100415,H501-1130,H14.09.037.PCx.01
H14.09.037,TCx,H14.09.037.TCx.01_TCx,RS5-501131,ar_496100419,H501-1131,H14.09.037.TCx.01
H14.09.038,HIP,H14.09.038.HIP.01_HIP,RS5-501132,ar_496100406,H501-1132,H14.09.038.HIP.01
H14.09.038,FWM,H14.09.038.PCx.01_FWM,RS5-501133,ar_496100411,H501-1133,H14.09.038.PCx.01
H14.09.038,PCx,H14.09.038.PCx.01_PCx,RS5-501134,ar_496100399,H501-1134,H14.09.038.PCx.01
H14.09.038,TCx,H14.09.038.TCx.01_TCx,RS5-501135,ar_496100387,H501-1135,H14.09.038.TCx.01
H14.09.039,FWM,H14.09.039.PCx.01_FWM,RS5-501136,ar_496100409,H501-1136,H14.09.039.PCx.01
H14.09.039,PCx,H14.09.039.PCx.01_PCx,RS5-501137,ar_496100408,H501-1137,H14.09.039.PCx.01
H14.09.039,TCx,H14.09.039.TCx.01_TCx,RS5-501138,ar_496100418,H501-1138,H14.09.039.TCx.01
H14.09.040,FWM,H14.09.040.PCx.01_FWM,RS5-501139,ar_496100413,H501-1139,H14.09.040.PCx.01
H14.09.040,PCx,H14.09.040.PCx.01_PCx,RS5-501140,ar_496100420,H501-1140,H14.09.040.PCx.01
H14.09.040,TCx,H14.09.040.TCx.03_TCx,RS5-501141,ar_496100394,H501-1141,H14.09.040.TCx.03
H14.09.041,HIP,H14.09.041.HIP.01_HIP,RS5-501148,ar_496100494,H501-1148,H14.09.041.HIP.01
H14.09.042,HIP,H14.09.042.HIP.01_HIP,RS5-501149,ar_496100452,H501-1149,H14.09.042.HIP.01
H14.09.042,FWM,H14.09.042.PCx.01_FWM,RS5-501151,ar_496100440,H501-1151,H14.09.042.PCx.01
H14.09.042,PCx,H14.09.042.PCx.01_PCx,RS5-501150,ar_496100442,H501-1150,H14.09.042.PCx.01
H14.09.043,FWM,H14.09.043.PCx.01_FWM,RS5-501143,ar_496100412,H501-1143,H14.09.043.PCx.01
H14.09.043,PCx,H14.09.043.PCx.01_PCx,RS5-501144,ar_496100404,H501-1144,H14.09.043.PCx.01
H14.09.043,TCx,H14.09.043.TCx.01_TCx,RS5-501145,ar_496100410,H501-1145,H14.09.043.TCx.01
H14.09.044,HIP,H14.09.044.HIP.01_HIP,RS5-501146,ar_496100388,H501-1146,H14.09.044.HIP.01
H14.09.044,TCx,H14.09.044.TCx.01_TCx,RS5-501147,ar_496100414,H501-1147,H14.09.044.TCx.01
H14.09.045,HIP,H14.09.045.HIP.01_HIP,RS5-501152,ar_496100434,H501-1152,H14.09.045.HIP.01
H14.09.045,FWM,H14.09.045.PCx.01_FWM,RS5-501154,ar_496100497,H501-1154,H14.09.045.PCx.01
H14.09.045,PCx,H14.09.045.PCx.01_PCx,RS5-501153,ar_496100423,H501-1153,H14.09.045.PCx.01
H14.09.045,TCx,H14.09.045.TCx.01_TCx,RS5-501155,ar_496100429,H501-1155,H14.09.045.TCx.01
H14.09.046,HIP,H14.09.046.HIP.01_HIP,RS5-501156,ar_496100444,H501-1156,H14.09.046.HIP.01
H14.09.046,FWM,H14.09.046.PCx.01_FWM,RS5-501158,ar_496100427,H501-1158,H14.09.046.PCx.01
H14.09.046,PCx,H14.09.046.PCx.01_PCx,RS5-501157,ar_496100449,H501-1157,H14.09.046.PCx.01
H14.09.046,TCx,H14.09.046.TCx.01_TCx,RS5-501159,ar_496100428,H501-1159,H14.09.046.TCx.01
H14.09.047,HIP,H14.09.047.HIP.01_HIP,RS5-501160,ar_496100433,H501-1160,H14.09.047.HIP.01
H14.09.047,FWM,H14.09.047.PCx.01_FWM,RS5-501162,ar_496100424,H501-1162,H14.09.047.PCx.01
H14.09.047,PCx,H14.09.047.PCx.01_PCx,RS5-501161,ar_496100441,H501-1161,H14.09.047.PCx.01
H14.09.047,TCx,H14.09.047.TCx.01_TCx,RS5-501163,ar_496100435,H501-1163,H14.09.047.TCx.01
H14.09.048,HIP,H14.09.048.HIP.01_HIP,RS5-501164,ar_496100453,H501-1164,H14.09.048.HIP.01
H14.09.048,FWM,H14.09.048.PCx.01_FWM,RS5-501166,ar_496100496,H501-1166,H14.09.048.PCx.01
H14.09.048,PCx,H14.09.048.PCx.01_PCx,RS5-501165,ar_496100438,H501-1165,H14.09.048.PCx.01
H14.09.048,TCx,H14.09.048.TCx.01_TCx,RS5-501167,ar_496100448,H501-1167,H14.09.048.TCx.01
H14.09.049,HIP,H14.09.049.HIP.01_HIP,RS5-501168,ar_496100447,H501-1168,H14.09.049.HIP.01
H14.09.049,FWM,H14.09.049.PCx.01_FWM,RS5-501170,ar_496100431,H501-1170,H14.09.049.PCx.01
H14.09.049,TCx,H14.09.049.TCx.01_TCx,RS5-501171,ar_496100425,H501-1171,H14.09.049.TCx.01
H14.09.050,HIP,H14.09.050.HIP.01_HIP,RS5-501172,ar_496100450,H501-1172,H14.09.050.HIP.01
H14.09.050,FWM,H14.09.050.PCx.01_FWM,RS5-501174,ar_496100436,H501-1174,H14.09.050.PCx.01
H14.09.050,PCx,H14.09.050.PCx.01_PCx,RS5-501173,ar_496100439,H501-1173,H14.09.050.PCx.01
H14.09.050,TCx,H14.09.050.TCx.01_TCx,RS5-501175,ar_496100446,H501-1175,H14.09.050.TCx.01
H14.09.051,HIP,H14.09.051.HIP.01_HIP,RS5-501176,ar_496100443,H501-1176,H14.09.051.HIP.01
H14.09.051,FWM,H14.09.051.PCx.01_FWM,RS5-501178,ar_496100495,H501-1178,H14.09.051.PCx.01
H14.09.051,PCx,H14.09.051.PCx.01_PCx,RS5-501177,ar_496100426,H501-1177,H14.09.051.PCx.01
H14.09.051,TCx,H14.09.051.TCx.01_TCx,RS5-501179,ar_496100451,H501-1179,H14.09.051.TCx.01
H14.09.052,HIP,H14.09.052.HIP.01_HIP,RS5-501180,ar_496100445,H501-1180,H14.09.052.HIP.01
H14.09.052,FWM,H14.09.052.PCx.01_FWM,RS5-501182,ar_496100535,H501-1182,H14.09.052.PCx.01
H14.09.052,PCx,H14.09.052.PCx.01_PCx,RS5-501181,ar_496100430,H501-1181,H14.09.052.PCx.01
H14.09.052,TCx,H14.09.052.TCx.01_TCx,RS5-501183,ar_496100432,H501-1183,H14.09.052.TCx.01
H14.09.053,HIP,H14.09.053.HIP.01_HIP,RS5-501184,ar_496100477,H501-1184,H14.09.053.HIP.01
H14.09.053,FWM,H14.09.053.PCx.01_FWM,RS5-501185,ar_496100479,H501-1185,H14.09.053.PCx.01
H14.09.053,PCx,H14.09.053.PCx.01_PCx,RS5-501186,ar_496100482,H501-1186,H14.09.053.PCx.01
H14.09.053,TCx,H14.09.053.TCx.01_TCx,RS5-501187,ar_496100469,H501-1187,H14.09.053.TCx.01
H14.09.054,HIP,H14.09.054.HIP.01_HIP,RS5-501188,ar_496100487,H501-1188,H14.09.054.HIP.01
H14.09.054,FWM,H14.09.054.PCx.01_FWM,RS5-501189,ar_496100467,H501-1189,H14.09.054.PCx.01
H14.09.054,PCx,H14.09.054.PCx.01_PCx,RS5-501190,ar_496100466,H501-1190,H14.09.054.PCx.01
H14.09.054,TCx,H14.09.054.TCx.01_TCx,RS5-501191,ar_496100492,H501-1191,H14.09.054.TCx.01
H14.09.055,HIP,H14.09.055.HIP.01_HIP,RS5-501192,ar_496100465,H501-1192,H14.09.055.HIP.01
H14.09.055,FWM,H14.09.055.PCx.01_FWM,RS5-501193,ar_496100483,H501-1193,H14.09.055.PCx.01
H14.09.055,PCx,H14.09.055.PCx.01_PCx,RS5-501194,ar_496100472,H501-1194,H14.09.055.PCx.01
H14.09.055,TCx,H14.09.055.TCx.01_TCx,RS5-501195,ar_496100460,H501-1195,H14.09.055.TCx.01
H14.09.056,HIP,H14.09.056.HIP.01_HIP,RS5-501196,ar_496100489,H501-1196,H14.09.056.HIP.01
H14.09.056,FWM,H14.09.056.PCx.01_FWM,RS5-501197,ar_496100463,H501-1197,H14.09.056.PCx.01
H14.09.056,PCx,H14.09.056.PCx.01_PCx,RS5-501198,ar_496100485,H501-1198,H14.09.056.PCx.01
H14.09.056,TCx,H14.09.056.TCx.01_TCx,RS5-501199,ar_496100456,H501-1199,H14.09.056.TCx.01
